 ESQUISTOSSOMOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Minas Gerais
Casos confirmados por Município de Infecção          e Mês 1º Sintoma(s)
Período:2020
"Município de Infecção         ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"310040 ACAIACA";-;-;-;-;-;-;-;-;1;1;1;-;3
"310050 ACUCENA";1;-;-;-;-;1;2;-;1;1;-;2;8
"310060 AGUA BOA";1;-;-;-;-;-;-;-;-;-;-;-;1
"310090 AGUAS FORMOSAS";-;-;1;-;-;-;-;-;-;-;-;-;1
"310110 AIMORES";-;-;-;1;-;-;-;-;-;-;-;-;1
"310170 ALMENARA";-;-;1;-;-;-;-;-;1;-;-;-;2
"310230 ALVINOPOLIS";2;2;1;1;-;-;1;-;1;1;-;1;10
"310285 ANGELANDIA";-;-;-;-;-;-;-;-;-;-;1;-;1
"310370 ARAPONGA";1;-;-;-;-;-;-;-;-;-;-;-;1
"310390 ARAUJOS";1;-;-;-;-;-;-;-;-;-;-;-;1
"310420 ARCOS";-;-;1;-;-;-;-;-;1;-;-;-;2
"310500 BALDIM";-;-;-;1;-;-;-;1;-;-;-;-;2
"310510 BAMBUI";-;1;-;-;-;-;-;-;-;-;-;-;1
"310540 BARAO DE COCAIS";-;-;-;-;-;-;1;-;-;-;-;-;1
"310570 BARRA LONGA";2;1;-;2;1;-;2;2;1;2;1;3;17
"310600 BELA VISTA DE MINAS";-;-;-;-;-;1;-;1;-;-;-;1;3
"310620 BELO HORIZONTE";1;-;2;1;1;-;1;1;2;2;3;1;15
"310630 BELO ORIENTE";-;-;-;-;-;-;-;1;-;-;1;-;2
"310640 BELO VALE";-;1;-;-;-;-;-;-;-;-;-;-;1
"310670 BETIM";1;-;-;1;-;-;-;-;1;1;-;-;4
"310740 BOM DESPACHO";-;-;1;-;-;-;-;-;-;-;-;-;1
"310810 BONFIM";-;-;-;-;-;-;-;-;-;-;1;-;1
"310860 BRASILIA DE MINAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"310880 BRAUNAS";-;-;-;1;1;-;-;-;-;-;-;-;2
"310925 BUGRE";-;-;-;-;-;-;-;-;-;-;1;-;1
"310940 BURITIZEIRO";-;-;-;-;-;1;-;-;-;-;-;-;1
"311210 CAPARAO";-;-;-;-;-;1;-;-;-;-;-;-;1
"311230 CAPELINHA";-;-;-;-;-;-;-;-;-;1;-;-;1
"311265 CAPITAO ANDRADE";-;-;-;-;-;-;-;-;-;1;-;-;1
"311340 CARATINGA";-;-;-;-;-;-;-;-;-;-;-;1;1
"311370 CARLOS CHAGAS";-;-;-;1;-;-;-;-;-;-;-;-;1
"311535 CATAS ALTAS";-;-;-;-;-;-;-;2;1;-;-;1;4
"311540 CATAS ALTAS DA NORUEGA";-;-;-;-;-;-;-;-;-;-;-;1;1
"311547 CATUTI";-;-;1;-;-;-;-;-;-;-;-;-;1
"311783 CONEGO MARINHO";-;-;1;-;-;-;-;-;-;-;-;-;1
"311800 CONGONHAS";-;-;2;-;-;-;1;2;-;-;-;2;7
"311840 CONSELHEIRO PENA";-;-;-;-;-;-;-;-;-;-;-;1;1
"311860 CONTAGEM";-;-;-;1;-;-;-;-;-;-;-;-;1
"311920 COROACI";-;-;-;-;1;-;-;-;1;-;-;-;2
"312170 DIOGO DE VASCONCELOS";3;1;-;-;1;-;-;-;-;-;-;-;5
"312220 DIVINOLANDIA DE MINAS";-;3;-;1;-;1;-;-;-;1;1;1;8
"312245 DIVISOPOLIS";1;-;-;1;1;-;1;-;3;-;-;1;8
"312270 DOM SILVERIO";-;2;6;6;5;10;8;5;14;8;9;7;80
"312340 DORESOPOLIS";-;1;-;-;-;1;-;-;-;-;-;-;2
"312352 DURANDE";2;2;2;-;10;7;7;13;12;3;8;16;82
"312390 ENTRE RIOS DE MINAS";-;-;-;-;-;-;-;-;-;-;1;-;1
"312410 ESMERALDAS";-;-;-;-;-;1;1;-;-;-;-;-;2
"312540 FELICIO DOS SANTOS";-;-;-;-;-;-;-;-;-;-;-;1;1
"312560 FELISBURGO";1;-;-;-;-;-;-;-;-;-;-;-;1
"312570 FELIXLANDIA";-;-;-;2;-;1;-;-;1;-;-;-;4
"312595 FERVEDOURO";-;-;-;-;-;-;-;-;-;-;-;1;1
"312610 FORMIGA";-;-;-;-;-;-;-;-;1;-;-;-;1
"312675 FRANCISCOPOLIS";-;-;-;-;-;1;-;-;-;1;-;-;2
"312695 FREI LAGONEGRO";-;-;-;-;-;-;-;-;1;-;-;-;1
"312820 GUARACIABA";1;3;-;-;-;-;-;-;-;-;2;-;6
"313090 INHAPIM";-;1;-;-;-;-;-;-;-;-;-;-;1
"313130 IPATINGA";2;-;-;-;-;-;-;-;2;-;1;2;7
"313170 ITABIRA";1;-;-;-;-;-;-;-;-;-;-;-;1
"313250 ITAMARANDIBA";1;-;-;-;-;-;-;-;-;-;-;-;1
"313270 ITAMBACURI";1;1;-;2;-;-;-;-;1;-;-;-;5
"313370 ITATIAIUCU";-;-;-;-;-;-;-;-;-;2;-;-;2
"313440 ITURAMA";-;-;-;-;-;-;-;-;-;-;-;1;1
"313500 JAGUARACU";1;1;-;-;-;-;-;-;-;2;-;2;6
"313520 JANUARIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"313535 JAPONVAR";-;1;-;-;-;-;-;-;-;-;-;-;1
"313550 JEQUERI";1;-;-;-;1;1;1;-;1;-;1;-;6
"313580 JEQUITINHONHA";1;-;-;-;-;-;-;-;-;-;-;-;1
"313600 JOAIMA";-;-;-;-;-;-;-;-;-;1;-;-;1
"313610 JOANESIA";2;-;2;1;2;2;2;1;6;3;2;2;25
"313660 NOVA UNIAO";-;-;-;-;-;-;-;-;-;-;-;1;1
"313700 LADAINHA";-;3;3;-;1;1;1;1;1;6;2;3;22
"313720 LAGOA DA PRATA";1;-;-;-;-;-;-;-;-;-;-;-;1
"313810 LASSANCE";-;-;-;-;-;-;-;-;1;-;-;-;1
"313862 LIMEIRA DO OESTE";1;-;-;-;-;-;1;-;-;-;-;-;2
"313867 LUISBURGO";-;-;-;-;-;-;-;3;1;-;-;-;4
"313868 LUISLANDIA";-;-;-;-;-;-;-;-;-;1;-;1;2
"313920 MALACACHETA";6;2;7;2;2;1;3;2;3;3;1;-;32
"313940 MANHUACU";-;1;-;-;-;-;1;-;-;1;-;-;3
"313950 MANHUMIRIM";4;2;-;3;3;1;-;-;-;2;2;5;22
"314030 MARLIERIA";1;-;-;-;-;-;-;-;-;-;-;-;1
"314040 MARMELOPOLIS";-;1;-;-;-;-;-;-;-;-;-;-;1
"314050 MARTINHO CAMPOS";-;-;-;-;-;-;-;-;-;-;1;-;1
"314070 MATEUS LEME";-;-;1;-;-;-;-;-;1;-;-;-;2
"314100 MATO VERDE";-;-;-;-;-;-;-;-;-;1;-;-;1
"314130 MEDEIROS";-;-;-;-;-;-;-;-;1;-;-;-;1
"314140 MEDINA";-;1;2;-;-;-;-;-;-;-;-;-;3
"314170 MESQUITA";-;-;-;-;-;-;-;-;-;-;-;1;1
"314200 MIRABELA";1;1;-;-;-;-;-;-;-;-;1;-;3
"314230 MOEDA";-;-;1;-;-;-;-;1;-;-;-;-;2
"314315 MONTE FORMOSO";-;-;-;-;-;-;-;1;-;-;-;-;1
"314330 MONTES CLAROS";-;-;-;-;2;-;-;-;-;-;-;-;2
"314350 MORADA NOVA DE MINAS";-;-;1;-;-;-;-;-;-;-;1;-;2
"314430 NANUQUE";-;-;-;1;-;-;-;-;1;-;-;2;4
"314435 NAQUE";-;-;-;-;-;-;1;1;-;-;-;-;2
"314480 NOVA LIMA";-;-;-;-;-;1;2;-;-;-;-;-;3
"314490 NOVA MODICA";-;3;-;-;-;2;-;-;1;1;1;2;10
"314520 NOVA SERRANA";2;-;3;-;-;2;-;1;3;1;4;-;16
"314530 NOVO CRUZEIRO";-;-;-;-;-;-;-;1;-;-;-;-;1
"314535 NOVO ORIENTE DE MINAS";-;-;-;-;-;-;-;-;-;-;-;1;1
"314560 OLIVEIRA";-;-;-;-;-;-;1;-;-;-;-;-;1
"314585 ORATORIOS";1;1;-;-;-;1;-;1;1;1;-;-;6
"314587 ORIZANIA";4;5;-;1;1;2;2;2;-;-;1;-;18
"314590 OURO BRANCO";-;-;-;-;-;-;-;-;-;-;-;1;1
"314610 OURO PRETO";-;-;-;1;-;-;-;-;-;-;-;-;1
"314630 PADRE PARAISO";-;-;-;-;-;-;-;-;-;-;1;-;1
"314650 PAINS";-;-;-;-;1;-;-;-;-;1;-;-;2
"314740 PARAOPEBA";-;-;-;-;-;-;-;-;-;-;-;1;1
"315000 PESCADOR";-;-;-;-;1;-;-;-;-;-;-;-;1
"315020 PIEDADE DE PONTE NOVA";-;-;1;-;-;-;-;-;-;-;-;-;1
"315050 PIMENTA";-;-;-;-;-;-;-;-;-;-;-;2;2
"315053 PINGO-D'AGUA";1;-;-;-;-;-;-;-;-;-;-;-;1
"315120 PIRAPORA";-;-;-;-;-;-;-;-;-;-;-;1;1
"315130 PIRAUBA";1;2;-;1;-;-;-;-;-;-;-;-;4
"315150 PIUMHI";1;-;-;-;-;-;-;-;1;-;-;-;2
"315210 PONTE NOVA";-;-;-;2;1;-;1;3;2;7;3;2;21
"315230 PORTO FIRME";-;-;-;-;-;-;-;-;-;1;-;-;1
"315280 PRATA";-;-;1;-;-;-;-;-;-;-;-;-;1
"315350 ALTO JEQUITIBA";-;-;-;-;-;-;1;-;-;-;-;-;1
"315400 RAUL SOARES";6;8;6;3;-;2;1;4;2;4;7;7;50
"315445 RIACHINHO";-;-;-;1;-;-;-;-;-;-;-;-;1
"315490 RIO CASCA";-;-;1;-;-;-;1;-;-;-;-;-;2
"315500 RIO DOCE";-;-;-;-;-;-;-;-;-;1;-;-;1
"315560 RIO PARDO DE MINAS";-;-;-;1;-;-;-;-;-;-;-;-;1
"315600 RIO VERMELHO";1;-;-;-;-;-;-;-;-;-;-;-;1
"315670 SABARA";-;-;-;1;-;-;-;-;-;-;-;-;1
"315700 SALINAS";1;-;-;-;-;-;-;2;-;-;2;2;7
"315737 SANTA CRUZ DE SALINAS";-;-;-;-;-;-;-;-;-;-;-;1;1
"315740 SANTA CRUZ DO ESCALVADO";1;-;-;1;-;1;-;-;1;1;4;-;9
"315750 SANTA EFIGENIA DE MINAS";2;3;1;1;1;1;-;4;1;-;2;2;18
"315765 SANTA HELENA DE MINAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"315770 SANTA JULIANA";1;-;-;-;-;-;-;-;-;-;-;-;1
"315780 SANTA LUZIA";-;-;1;-;-;-;-;-;1;1;-;1;4
"315800 SANTA MARIA DE ITABIRA";1;-;-;-;-;1;-;-;-;-;-;-;2
"315895 SANTANA DO PARAISO";-;-;-;-;-;-;-;-;-;1;-;-;1
"315900 SANTANA DO RIACHO";-;-;-;1;-;-;-;-;-;-;-;-;1
"315935 SANTA RITA DE MINAS";-;-;-;-;1;1;-;-;-;-;-;-;2
"316010 SANTO ANTONIO DO GRAMA";-;-;-;-;1;-;-;1;-;-;-;1;3
"316040 SANTO ANTONIO DO MONTE";-;-;-;-;-;-;-;-;-;-;-;1;1
"316090 SAO BRAS DO SUACUI";-;-;-;-;-;-;1;-;-;-;-;-;1
"316095 SAO DOMINGOS DAS DORES";1;1;1;-;-;-;-;2;2;3;2;-;12
"316110 SAO FRANCISCO";-;-;-;-;-;-;1;-;-;-;-;-;1
"316130 SAO FRANCISCO DE SALES";1;-;-;-;-;-;-;-;-;-;-;-;1
"316150 SAO GERALDO";-;1;-;-;-;1;-;-;-;-;-;-;2
"316255 SAO JOAO DO MANHUACU";-;-;-;-;-;-;-;1;-;-;-;-;1
"316340 SAO JOSE DO GOIABAL";-;-;-;-;-;-;-;-;-;3;-;2;5
"316360 SAO JOSE DO MANTIMENTO";-;1;2;-;1;-;-;-;-;-;-;-;4
"316400 SAO PEDRO DOS FERROS";2;-;1;3;2;1;1;1;-;3;1;-;15
"316450 SAO SEBASTIAO DO MARANHAO";1;-;-;-;-;-;-;-;-;-;-;-;1
"316555 SETUBINHA";-;1;-;-;-;-;-;-;-;-;-;-;1
"316556 SEM-PEIXE";2;-;1;1;-;-;1;-;1;-;2;1;9
"316610 SENHORA DO PORTO";-;-;-;-;-;-;-;-;-;-;-;1;1
"316620 SENHORA DOS REMEDIOS";-;-;1;-;-;-;-;-;-;-;-;-;1
"316670 SERRA DOS AIMORES";-;-;1;-;1;-;-;-;-;-;-;-;2
"316710 SERRO";-;-;-;-;-;-;-;-;1;-;-;-;1
"316770 SOBRALIA";-;-;-;-;-;-;-;-;-;-;1;-;1
"316830 TAQUARACU DE MINAS";-;-;-;-;-;-;-;-;-;-;-;1;1
"316860 TEOFILO OTONI";11;10;11;10;4;11;22;19;13;13;12;8;144
"316920 TOMBOS";-;-;-;-;-;-;-;1;-;-;-;-;1
